Ind,TeamID,Lineup_1,Lineup_2,Lineup_3,Lineup_4,Lineup_5,OFFApps,DEFApps,RatingOFF,RatingDEF,RatingOFF_mod,RatingDEF_mod,HensatiOFF,HensatiDEF
6349,727,15826,18433,51000494,51000513,51000554,33,39,-0.160435335257633,-0.0888775402194998,-0.00716772391627689,0.00822964070243529,-5.38056690339437,-3.17008021869293
6350,727,15826,18433,51000494,51000554,5100000022,14,13,0.553565563800719,0.281570478891006,0.066476597854051,0.0708002449161945,19.2392053624547,9.42072703376378
6351,727,15826,18433,51000510,51000513,51000554,65,72,-0.387527733389866,-0.05822998889617,-0.0597056335018023,-0.0125071781216686,-13.2110376110569,-2.12842959143796
6352,727,15826,51000240,51000491,51000494,51000554,2,1,-0.0227274015242963,-0.255530009532511,0.0468924416765889,0.130491618884354,-0.632200378664935,-8.83427333357136
6353,727,15826,51000240,51000494,51000510,51000554,5,7,-0.573537072313473,0.387461229855544,-0.0351793165865675,0.114423541109483,-19.6249056743323,13.0197475884254
6354,727,15826,51000240,51000494,51000510,5100000022,17,17,0.0913842917979161,0.155386043266666,0.0269918738099207,0.249578932701215,3.30253402596735,5.13196363040985
6355,727,15826,51000441,51000491,51000494,51000554,3,2,-0.256797332725943,0.31736607314957,-0.00406933601809872,-0.0169401833796935,-8.70326640682765,10.6373496219447
6356,727,15826,51000441,51000491,51000513,51000554,8,11,-0.217718166155601,-0.0788351653206912,-0.05373196461563,-0.010555668901741,-7.35576084686284,-2.82875943902886
6357,727,15826,51000441,51000494,51000510,51000554,67,66,0.0123594965952682,-0.306845471498903,-0.0861410942812551,-0.0330082611545645,0.577646054803113,-10.5783860224204
6358,727,15826,51000441,51000494,51000510,5100000022,10,9,0.193055653250379,0.0250448957621727,-0.0239699038847669,0.102147130437167,6.80830799378683,0.701921679494299
6359,727,15826,51000441,51000510,51000513,51000554,2,4,-0.238213767347493,-0.280069010927197,-0.135803722878786,-0.026623746676612,-8.06247849170268,-9.66830623640649
6360,727,15826,51000491,51000494,51000513,51000554,10,18,0.455683593807316,0.069238610111681,0.00595638412568566,0.0111420247270431,15.8640950322739,2.203980026252
6361,727,15826,51000494,51000510,51000513,51000554,26,29,0.360537657108618,0.430303108778284,-0.0761153741374707,-0.00492605304782794,12.583327043561,14.4758596797912
6362,727,18433,51000240,51000441,51000510,5100000022,10,11,-0.143663039691129,0.749966243231148,0.0377469818844859,0.235912409127697,-4.8022341621227,25.3405875335837
6363,727,18433,51000240,51000494,51000554,5100000022,6,2,-0.0110400109058382,-0.107793604886395,0.111783742987635,0.212146648680565,-0.229202433161027,-3.81300044476881
6364,727,18433,51000240,51000510,51000554,5100000022,2,2,0.0352531596666863,-0.199753857741653,0.05924583340211,0.191409829856461,1.36705230330047,-6.93855047839537
6365,727,18433,51000441,51000494,51000513,51000554,8,5,0.0889547998692973,0.263475717624505,-0.01282235647738,0.00214424220275809,3.21876166926136,8.80572131195487
6366,727,18433,51000441,51000494,51000554,5100000022,11,3,-0.065508999164779,0.12650357570987,0.0608219652929478,0.0647148464165173,-2.10737105767523,4.15030476540596
6367,727,18433,51000441,51000510,51000513,51000554,9,12,-0.412118215466162,0.188279733071727,-0.0653602660629055,-0.0185925766213458,-14.0589526058759,6.24995613352018
6368,727,18433,51000441,51000510,51000554,5100000022,8,7,-0.600035479376727,0.278909870004634,0.0082840557074224,0.0439780275924134,-20.5386086516892,9.33029811544235
6369,727,51000240,51000441,51000494,51000510,51000554,5,7,-0.0262049853263161,0.398998462123369,-0.0408339491476706,0.108338142609806,-0.752112442296856,13.411875660968
6370,727,51000240,51000441,51000494,51000510,5100000022,1,0,0.18668555876015,0,0.0213372412488175,0.243493534201538,6.58865802434249,-0.14930558838676
6371,727,51000441,51000491,51000494,51000513,51000554,3,6,0.162084179491187,-0.247034640594857,0.00030175156458251,0.00505662622736586,5.74036727873358,-8.54553227594784
6372,727,51000441,51000491,51000510,51000513,51000554,3,4,-0.386285767446906,0.384147073460177,-0.0522361580209429,-0.015680192596738,-13.1682128489061,12.9071058621213
6373,727,51000441,51000494,51000510,51000554,5100000022,10,13,0.581594359125963,0.163362609618614,-0.008125684928246,0.0515591526662541,20.2056783160654,5.40307159777046
6374,728,8494,8583,8608,9040,30403,2,0,0.184627951089414,0,0.928199649103052,0.454179531741318,6.51770876877043,-0.14930558838676
6375,728,8494,8583,8608,9040,51000297,3,3,-0.0182560280666815,-0.188268432364969,0.789067640037961,0.452728932465205,-0.478021026247842,-6.54818322126295
6376,728,8494,8583,8608,32982,51000297,0,1,0,-0.306474242759998,0.59743466703458,0.410048825795443,0.151472933876591,-10.5657686800214
6377,728,8494,8583,9040,18399,51000297,4,7,0.170004850331758,-0.136490780043402,0.794235492962836,0.464213278216916,6.01348333859399,-4.78836158169549
6378,728,8494,8583,9040,18399,51000313,2,3,0.451842581063752,-0.31315411086636,0.885405423813137,0.440289973393568,15.7316514189094,-10.7928043974778
6379,728,8494,8583,9040,19956,51000297,0,1,0,0.204271118514199,0.690113348576541,0.418422859371974,0.151472933876591,6.79347220438317
6380,728,8494,8583,9040,30403,51000297,2,0,0.00527592895123063,0,0.827151366284865,0.433148069017854,0.333394510504021,-0.14930558838676
6381,728,8494,8583,9040,30403,51000313,0,1,0,0.155630866472892,0.918321297135166,0.409224764194506,0.151472933876591,5.14028469474682
6382,728,8494,8583,9040,30469,51000313,0,1,0,0.216518733250346,0.872431097973814,0.376455078168691,0.151472933876591,7.20974479457123
6383,728,8494,8583,18399,19956,51000297,3,2,0.306148711404555,-0.066306671277025,0.653985916468033,0.41325298437954,10.7079184008273,-2.40294030778849
6384,728,8494,8583,19956,32982,51000297,0,1,0,0.200790730962653,0.49848037557316,0.375742752702213,0.151472933876591,6.67518060457764
6385,728,8494,8583,30403,51000297,51000313,0,3,0,-0.0282567787344457,0.775977729283596,0.371539080726897,0.151472933876591,-1.10969850795207
6386,728,8494,8583,51000297,51000313,51000362,6,15,-0.0847356668706192,-0.216607540546568,0.639988824346359,0.319253843761452,-2.77033406090565,-7.5113743585183
6387,728,8494,8608,9040,18399,51000297,29,26,-0.273627518826168,0.309955377080187,0.916769611821281,0.50187428454791,-9.28359529650534,10.3854744842664
6388,728,8494,8608,9040,18399,51000313,18,14,0.12536785748201,0.7958100842183,1.00793954267158,0.477950979724562,4.47433597891635,26.8987304734959
